antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A,B,A_name,B_name
0.029368750932696613,0.025100731234144157,0.019429935830473064,0.6615853658536586,26.357214842956992,1.0,0.018692758706628926,2.8807834248216286,0.9911691233328568,0.5545144804088586,0.6528722043511765,0.7178319219280184,21094,21086,SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS
0.025100731234144157,0.029368750932696613,0.019429935830473064,0.7740784780023782,26.357214842956992,1.0,0.018692758706628926,4.29632042350317,0.9868298757013174,0.5545144804088586,0.7672426864324492,0.7178319219280184,21086,21094,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES
0.030681987763020446,0.040352186240859574,0.025787195940904343,0.8404669260700389,20.828287247024154,1.0,0.024549110656451167,6.015353369173149,0.9821218206844958,0.5699208443271768,0.8337587272720012,0.7397600902539544,22698,22697,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER
0.040352186240859574,0.030681987763020446,0.025787195940904343,0.6390532544378699,20.828287247024154,1.0,0.024549110656451167,2.6854876076729437,0.9920184856893718,0.5699208443271768,0.6276281457628731,0.7397600902539544,22697,22698,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER
0.03047306372183256,0.034770929711983284,0.021310252201164004,0.6993143976493633,20.112041968448,1.0,0.020250675444383377,3.2100940741500485,0.9801466147350456,0.485054347826087,0.6884826497601088,0.656094967065025,84997C,84997D,BLUE 3 PIECE MINI DOTS CUTLERY SET,PINK 3 PIECE MINI DOTS CUTLERY SET
0.034770929711983284,0.03047306372183256,0.021310252201164004,0.6128755364806867,20.112041968448,1.0,0.020250675444383377,2.504432108124313,0.984510903928671,0.485054347826087,0.60070788233547,0.656094967065025,84997D,84997C,PINK 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET
0.03289061334129235,0.03047306372183256,0.019071780331293836,0.5798548094373865,19.02843818824646,1.0,0.018069502575094477,2.307599748981729,0.9796689935344285,0.43059299191374667,0.5666492855005429,0.6028559061878411,84997B,84997C,RED 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET
0.03047306372183256,0.03289061334129235,0.019071780331293836,0.6258570029382958,19.02843818824646,1.0,0.018069502575094477,2.5848656643417294,0.9772261543373995,0.43059299191374667,0.6131327001650342,0.6028559061878411,84997C,84997B,BLUE 3 PIECE MINI DOTS CUTLERY SET,RED 3 PIECE MINI DOTS CUTLERY SET
0.030681987763020446,0.04238173406954186,0.024235188777794358,0.7898832684824902,18.637351345426644,1.0,0.022934832931697086,4.557553598965328,0.9762991042846387,0.49633251833740827,0.7805840395981248,0.6808571271989916,22698,22699,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER
0.04238173406954186,0.030681987763020446,0.024235188777794358,0.5718309859154929,18.63735134542664,1.0,0.022934832931697086,2.2638677259482085,0.9882270846143747,0.49633251833740827,0.5582780793514976,0.6808571271989916,22699,22698,ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER
0.027219817937621252,0.03987464557528727,0.019758245038054022,0.7258771929824561,18.203978556045804,1.0,0.01867286444516753,3.502537292941352,0.9715113146364441,0.41740226986128637,0.7144926901948209,0.6106930875091922,82581,82580,TOILET METAL SIGN,BATHROOM METAL SIGN
0.03987464557528727,0.027219817937621252,0.019758245038054022,0.4955089820359282,18.203978556045804,1.0,0.01867286444516753,1.928240835660739,0.984316213682291,0.41740226986128637,0.48139258255189077,0.6106930875091922,82580,82581,BATHROOM METAL SIGN,TOILET METAL SIGN
0.040352186240859574,0.04238173406954186,0.03086106551261006,0.764792899408284,18.04534232019335,1.0,0.02915086988622532,4.071383319301821,0.9843028084832066,0.5949367088607593,0.754383234990636,0.7464809567463955,22697,22699,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER
0.04238173406954186,0.040352186240859574,0.03086106551261006,0.728169014084507,18.04534232019335,1.0,0.02915086988622532,3.5303106102020183,0.9863889107421081,0.5949367088607593,0.7167388056138279,0.7464809567463955,22699,22697,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER
0.0322638412177287,0.036143859125503656,0.019370243247276524,0.6003700277520814,16.61056794371056,1.0,0.01820410351545532,2.411871500660487,0.9711297382106201,0.39500912964090085,0.5853842131613763,0.5681453772121265,22866,22865,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN
0.036143859125503656,0.0322638412177287,0.019370243247276524,0.5359207266721717,16.610567943710556,1.0,0.01820410351545532,2.085282007625143,0.9750390360977623,0.39500912964090085,0.5204485549947913,0.5681453772121265,22865,22866,HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN
0.031398298761378896,0.036143859125503656,0.018594239665721535,0.5922053231939165,16.38467328952285,1.0,0.017459383978509782,2.3635819585080897,0.969405020293825,0.3798780487804878,0.5769133385028852,0.5533280951229698,22867,22865,HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN
0.036143859125503656,0.031398298761378896,0.018594239665721535,0.5144508670520231,16.384673289522848,1.0,0.017459383978509782,1.994858265646208,0.9741779006501365,0.3798780487804878,0.4987112532147424,0.5533280951229698,22865,22867,HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN
0.031398298761378896,0.0322638412177287,0.016564691837039246,0.5275665399239544,16.351634523729967,1.0,0.01555166211129531,2.048407322009959,0.9692777052774589,0.3517110266159696,0.5118158438240838,0.5204900229684526,22867,22866,HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN
0.0322638412177287,0.031398298761378896,0.016564691837039246,0.5134135060129509,16.351634523729963,1.0,0.01555166211129531,1.990605397412451,0.9701446264917769,0.3517110266159696,0.4976402649666878,0.5204900229684526,22866,22867,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN
0.040650649156842265,0.03778540516340845,0.024951499776152814,0.6138032305433186,16.244452795698177,1.0,0.023415498527605962,2.4915138368202236,0.9782052005340369,0.46651785714285704,0.5986375892352086,0.6370753909430653,22727,22726,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN
0.03778540516340845,0.040650649156842265,0.024951499776152814,0.660347551342812,16.244452795698173,1.0,0.023415498527605962,2.824502972482413,0.9752923403568831,0.46651785714285704,0.6459554088834557,0.6370753909430653,22726,22727,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED
0.026234890314878377,0.03671093866587077,0.01540068646470676,0.5870307167235495,15.990621271400427,1.0,0.014437579015451412,2.33259252042066,0.9627202017509219,0.32391713747645945,0.5712924605367165,0.5032714559227504,23202,23203,JUMBO BAG VINTAGE LEAF,JUMBO BAG VINTAGE DOILY
0.03671093866587077,0.026234890314878377,0.01540068646470676,0.4195121951219512,15.990621271400427,1.0,0.014437579015451412,1.677494516684453,0.9731900635887089,0.32391713747645945,0.40387286512477705,0.5032714559227504,23203,23202,JUMBO BAG VINTAGE DOILY,JUMBO BAG VINTAGE LEAF
0.03289061334129235,0.034770929711983284,0.018027160125354425,0.5480943738656987,15.763006005468014,1.0,0.01688352292068033,2.1359085049345268,0.9684119878524861,0.3631990378833434,0.5318151514029139,0.5332746547440081,84997B,84997D,RED 3 PIECE MINI DOTS CUTLERY SET,PINK 3 PIECE MINI DOTS CUTLERY SET
0.034770929711983284,0.03289061334129235,0.018027160125354425,0.5184549356223176,15.763006005468013,1.0,0.01688352292068033,2.0083465872680826,0.970298504711939,0.3631990378833434,0.5020779748179413,0.5332746547440081,84997D,84997B,PINK 3 PIECE MINI DOTS CUTLERY SET,RED 3 PIECE MINI DOTS CUTLERY SET
0.03978510670049246,0.040799880614833604,0.024742575734964932,0.6219054763690923,15.242825885696005,1.0,0.023119348131336422,2.5369320617865614,0.9731106790746421,0.4430785676109033,0.6058231061592644,0.6141714653242683,22630,22629,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX
0.040799880614833604,0.03978510670049246,0.024742575734964932,0.6064374542794441,15.242825885696003,1.0,0.023119348131336422,2.439802526283321,0.9741401694937266,0.4430785676109033,0.590130762950167,0.6141714653242683,22629,22630,SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX
0.02889121026712431,0.040650649156842265,0.017728697209371737,0.6136363636363636,15.09536443732479,1.0,0.016554250757086306,2.4830218492411142,0.9615343899082411,0.34216589861751157,0.5972649212468146,0.5248798558269924,22728,22727,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED
